"ChassisIndex","SlotIndex","Index","Type","Link","AutoNegotiation","Duplex","Speed","RxActivity","TxActivity","CollisionActivity","Loopback","Enable","SelectLink","LIN","Aging","MaxPacketSize","RemoteLoopback","ErrorActivity","Name","Value","Threshold","ThresholdAction","RMChassis","RMSlot","RMPort","SerialNumber","VendorInfo","Medium","Connector","Wavelength","ZoneIdAdmin","NominalBitRate","ModulePort","PartRev","IfIndex","Linked","Operational","ZoneChassisAdmin","ZoneSlotAdmin","FlowControl","AutoNegAd","AutoNegEditable","WavelengthX","ZoneIdOper","ZoneSlotOper","ZoneChassisOper","LinkMatch","MDIPinoutAdmin","MDIPinoutOper","FCRecvAdmin","FCRecvOper","FCSendAdmin","FCSendOper","AutoNegWait","AmpGainOper","AmpGainAdmin","AmpOutputPwrAdmin","ProtoCapabilities","ProtoAdmin","ProtoOper","PreambleLen","Preferred","CableLen","RedundantTxMode","Termination","Description","TransmitUnmapped","ToggleMode","Revertive","I2CSpeed","MappingType","SupportsEfm","mrvEusmPortSupportsEusm","mrvEusmPortSmartLoopbackAction","mrvEusmPortSmartLoopbackSwap","mrvEusmPortSmartLoopbackMac","mrvEusmPortSmartLoopbackVid","mrvEusmPortQinQAction","mrvEusmPortQinQServiceVid","mrvEusmPortQinQServicePriority","mrvEusmTgaDa","mrvEusmTgaDaType","mrvEusmTgaSa","mrvEusmTgaSaType","mrvEusmTgaTag","mrvEusmTgaTagType","mrvEusmTgaPattern","mrvEusmTgaPatternType","mrvEusmTgaFrameSize","mrvEusmTgaFrameSizeType","mrvEusmTgaFrameCount","mrvEusmTgaFrameCountType","mrvEusmTgaInterPacketGap","mrvEusmTgaAction","mrvEusmCableTestStatus","mrvEusmCableTestResult","DDiag.Temperature","DDiag.TxPower","DDiag.RxPower","DDiag.BiasAmps","DDiag.SupplyVolts","DDiag.DigitalDiags","DDiag.AlarmCause","DDiag.TemperatureLevel","DDiag.TxPowerLevel","DDiag.RxPowerLevel","DDiag.BiasAmpsLevel","DDiag.SupplyVoltsLevel",
"1","1","11","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.11","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","11","N/A","101011","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","12","28","noSignal","off","full","spd100Mbps","notSupported","notSupported","notSupported","notSupported","enable","notSupported","enable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.12","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","12","N/A","101012","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:20:00:00:00","0","26","notSupported","notSupported","notSupported","notSupported","notSupported","","enabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","13","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.13","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","13","N/A","101013","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","14","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.14","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","14","N/A","101014","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","15","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.15","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","15","N/A","101015","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","16","28","noSignal","off","full","spd100Mbps","notSupported","notSupported","notSupported","notSupported","enable","notSupported","enable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.16","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","16","N/A","101016","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:20:00:00:00","0","26","notSupported","notSupported","notSupported","notSupported","notSupported","","enabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","17","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.17","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","17","N/A","101017","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","18","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.18","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","18","N/A","101018","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","19","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.19","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","0","4294967295","19","N/A","101019","no","yes","0","0","notSupported","3f","3f","N/A","0","0","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
"1","1","20","28","noSignal","on","full","spdGigabit","notSupported","notSupported","notSupported","notSupported","enable","notSupported","disable","notSupported","notSupported","notSupported","notSupported","RJ-45 at 1.1.20","","-2147483648","1","4294967295","4294967295","4294967295","N/A","N/A","twistedPair","cuRj45","4294967295","7","4294967295","20","N/A","101020","no","yes","1","2","notSupported","3f","3f","N/A","7","2","1","enabled","autoSense","notSupported","notSupported","notSupported","notSupported","notSupported","0","4294967295","4294967295","-2147483648","00:00:00:04:00:00:00","0","29","notSupported","notSupported","notSupported","notSupported","notSupported","","disabled","notSupported","notSupported","notSupported","open","notSupported","notSupported","notSupported","notSupported","","4294967295","notSupported","4294967295","4294967295","","notSupported","","notSupported","","notSupported","","notSupported","4294967295","notSupported","4294967295","notSupported","4294967295","notSupported","notSupported","N/A","-2147483648","-2147483648","-2147483648","4294967295","4294967295","notSupported","N/A","notSupported","notSupported","notSupported","notSupported","notSupported",
